epoch,train loss,validation loss
0,0.6952272111481994,0.6875717998945226
1,0.6758537723200164,0.6550356459896467
2,0.560724763757121,0.46108081779981913
3,0.30445672686952746,0.23752378110300032
4,0.2349576379695948,0.2413387492037656
5,0.19320896711662738,0.22116699901937742
6,0.16727542241450644,0.21243457539736876
7,0.1370375276046948,0.20530431033575047
8,0.11637180573748847,0.20404756975452804
9,0.11265221882040483,0.2039801804294363
10,0.11041595981503925,0.20173338386747572
11,0.10341178357166095,0.21201823956785146
12,0.1255028156767579,0.2041117465286924
13,0.09794115239251269,0.20126720147523267
14,0.09340606522984313,0.20569717657496359
15,0.09369906132673696,0.21465405734658938
16,0.10528049490747661,0.2116870517619172
17,0.08328819257499528,0.21156952865639625
18,0.06856042525193987,0.2187522405769393
19,0.06714511045601464,0.22508953293861703
