epoch,train loss,validation loss
0,0.6970358331708142,0.6891751822672392
1,0.6886344120450264,0.6772316363122728
2,0.6305872536923763,0.5884826347144724
3,0.4216358783906394,0.3056481114605017
4,0.25610558560294827,0.21820120548295696
5,0.1856230187590105,0.1820856632980687
6,0.20333008957605292,0.16501888728629777
7,0.18517424142273672,0.16999738519651847
8,0.16762471185983532,0.15292574587272623
9,0.16420416832514054,0.15959213295003824
10,0.1262512987656315,0.14128223697693026
11,0.13861009952795766,0.14313025837927534
12,0.14738858019130943,0.16000815367663812
13,0.13886096493823685,0.13920263431922733
14,0.12283892410188696,0.13714940301333253
15,0.12301062850186424,0.1406475181816614
16,0.10348535193143969,0.18262665594617525
17,0.11220266383929844,0.19233691683638166
18,0.11353467133195295,0.20711673428004945
19,0.11368869332066417,0.1653450013339868
