epoch,train loss,validation loss
0,0.696143023202019,0.6885797834535788
1,0.6788132605761508,0.6730921550800926
2,0.5808298352425986,0.4687242263938948
3,0.32512786658140863,0.24107892175166928
4,0.22792405969035015,0.19494222200404832
5,0.2019211314455436,0.1523196849732371
6,0.2247493584443183,0.17621054478556092
7,0.15518941959760485,0.15921794444496867
8,0.16298753460393334,0.1286311353507795
9,0.14415291095845892,0.11719329332747655
10,0.13220678617103693,0.12852763711360463
11,0.1523063193816338,0.1233173045847151
12,0.11731562085830383,0.1180252987041808
13,0.12343928957507558,0.1066329241321798
14,0.1011839516624047,0.12630956197342677
15,0.10564572471771796,0.10822349525334542
16,0.11557767172581958,0.13650661462928818
17,0.12588896806875285,0.15691489486666452
18,0.11428683889608314,0.11092919773525661
19,0.08886473603057166,0.12439044334037959
