epoch,train loss,validation loss
0,0.6933611794979903,0.6875783891705741
1,0.6809612436886251,0.6576983412803962
2,0.5595780924288896,0.4428615360929255
3,0.29152597877448494,0.24832614524322644
4,0.22175139029965785,0.19654647509256998
5,0.2131625960778146,0.17594855980217805
6,0.17912220526350675,0.17647128530413086
7,0.16558480173566917,0.14650272913495002
8,0.14862525154204265,0.14085733245687876
9,0.13817498815266321,0.1621366944926524
10,0.15026375531715197,0.1463331234211113
11,0.12804366875521458,0.12617040665177573
12,0.13088840188553733,0.12583272525093012
13,0.1404826032528042,0.1309240592850579
14,0.1257472402640503,0.130161639978314
15,0.12308194441516904,0.14573618708646785
16,0.1100502190146133,0.12143820044938584
17,0.0870401732895496,0.12021434185100578
18,0.08166955164803641,0.12032724725224121
19,0.0685173551732144,0.12352346110413646
