epoch,train loss,validation loss
0,0.6952526788962515,0.6860628128051758
1,0.6744238138198853,0.6442703771036725
2,0.5694000151073724,0.4507908329021099
3,0.3170030218990226,0.25635353666405347
4,0.23141574371627896,0.22169257249943045
5,0.22304220061901717,0.187035663529884
6,0.20717625677237037,0.17640852962815484
7,0.1462419158534,0.14227547479230304
8,0.15454567228144372,0.1451173232391823
9,0.14263865264535647,0.13876233163268067
10,0.14054955570408476,0.14139398689879928
11,0.11258074092237573,0.12447502827921579
12,0.11288249914191271,0.11620095181603764
13,0.10776778481007494,0.11783034267813661
14,0.1292639443574593,0.12697067336980686
15,0.09300030593635046,0.11999105003684066
16,0.0929954220154132,0.12180286819158598
17,0.08990379584114454,0.11986536480659662
18,0.08896694110150923,0.11445285449194353
19,0.07867400509397886,0.11055751734001693
