epoch,train loss,validation loss
0,0.678845383772036,0.6798866182807984
1,0.6629296894965133,0.657393516079197
2,0.6368333992919302,0.6398458878199259
3,0.6195613218516838,0.6454245055594096
4,0.5974438922192024,0.6164843890725112
5,0.5901113399645177,0.5895019316576361
6,0.549210187380876,0.5766466715471531
7,0.5279827612202342,0.546540687239267
8,0.5238719366914858,0.5730774698218679
9,0.5099006077138389,0.5382847713261116
10,0.4918117823639536,0.543352275844512
11,0.4801783343640769,0.5362065684020034
12,0.46055311885306505,0.5321375410246655
13,0.4710469769268501,0.5550180537913872
14,0.46184239082220124,0.5456563578388556
15,0.4352999617898367,0.5471462621921446
16,0.43094155337752366,0.5290023083609294
17,0.41851637833486727,0.5328770444645146
18,0.41611146902650353,0.5254602558244534
