epoch,train loss,validation loss
0,0.6887964552980128,0.6810050727875252
1,0.6770623311763857,0.6653397650253482
2,0.6469193992575979,0.6117000075859752
3,0.6291676037679843,0.6136521508054036
4,0.5902155623203371,0.5684552342911077
5,0.564115597465174,0.5566315919887729
6,0.5527938386289085,0.5474781524844285
7,0.5196236044895358,0.5429192553690778
8,0.5097134069698613,0.5170206565682481
9,0.4838526937050548,0.49366262482433787
10,0.48142610138993924,0.4949943309392386
11,0.45636064274524285,0.47633745781774445
12,0.4588981074530904,0.4790134131908417
13,0.45834211169219596,0.5063290860110182
14,0.4550960030012984,0.4606510102748871
15,0.4445029092513449,0.47561164793929434
16,0.4321252209384267,0.5152161843408414
17,0.4212170989532781,0.4566653952365968
18,0.4179910695165153,0.4945741346696528
