epoch,train loss,validation loss
0,0.6905293702110042,0.6868479121022109
1,0.6754448409002971,0.6660595020142998
2,0.660702755780724,0.634059252050834
3,0.632439834800193,0.6085361104185988
4,0.609852824753862,0.577805446657708
5,0.5944149208262683,0.5719622477767913
6,0.5741701077639572,0.5453316290688709
7,0.5474439205192938,0.508499820300234
8,0.5443277993822485,0.5131729443868002
9,0.49336356627262706,0.4875328262162402
10,0.4847718210724311,0.47394619240024227
11,0.4890156305902372,0.47037152812732913
12,0.49000634483205596,0.47783075624365146
13,0.47823083037283365,0.4791320618090591
14,0.4602629847642852,0.4767735728888008
15,0.4546264586894493,0.45888225891725803
16,0.4557584668320369,0.46740596032724147
17,0.43176144288807383,0.44269982658750645
18,0.4269308888815283,0.4430715526507153
