epoch,train loss,validation loss
0,0.6806996222434005,0.6899837662534016
1,0.6652123341715432,0.6769087341258196
2,0.6360868322170847,0.6502005937622815
3,0.6219491721168766,0.6299836330297517
4,0.5909429987271627,0.6045008781479626
5,0.5674796957310623,0.5806892170169489
6,0.5457731722816219,0.5740855830471691
7,0.5255338142557842,0.5491788569020062
8,0.5169305859542475,0.5381086725529617
9,0.5036000086040031,0.5434212372070406
10,0.4951971943785505,0.5272383772260775
11,0.48479407686528153,0.522619242348322
12,0.46805407579352215,0.5129337196912223
13,0.4604261808279084,0.515311829927491
14,0.4449917875169738,0.5022528084312997
15,0.45094216402953236,0.519956013051475
16,0.4681357261611194,0.5155435509798003
17,0.41276216918860026,0.5041425325037018
18,0.4108488227778334,0.5074382220826498
